image_path,alpha_path
data\train_processed\images\00000966.png,data\train_processed\alpha\00000966.png
data\train_processed\images\00000240.png,data\train_processed\alpha\00000240.png
data\train_processed\images\00000812.png,data\train_processed\alpha\00000812.png
data\train_processed\images\00001240.png,data\train_processed\alpha\00001240.png
data\train_processed\images\00001280.png,data\train_processed\alpha\00001280.png
data\train_processed\images\00001084.png,data\train_processed\alpha\00001084.png
data\train_processed\images\00000579.png,data\train_processed\alpha\00000579.png
data\train_processed\images\00000365.png,data\train_processed\alpha\00000365.png
data\train_processed\images\00001376.png,data\train_processed\alpha\00001376.png
data\train_processed\images\00001320.png,data\train_processed\alpha\00001320.png
data\train_processed\images\00001645.png,data\train_processed\alpha\00001645.png
data\train_processed\images\00001343.png,data\train_processed\alpha\00001343.png
data\train_processed\images\00001395.png,data\train_processed\alpha\00001395.png
data\train_processed\images\00000985.png,data\train_processed\alpha\00000985.png
data\train_processed\images\00000071.png,data\train_processed\alpha\00000071.png
data\train_processed\images\00001022.png,data\train_processed\alpha\00001022.png
data\train_processed\images\00000259.png,data\train_processed\alpha\00000259.png
data\train_processed\images\00000051.png,data\train_processed\alpha\00000051.png
data\train_processed\images\00000198.png,data\train_processed\alpha\00000198.png
data\train_processed\images\00001189.png,data\train_processed\alpha\00001189.png
data\train_processed\images\00001759.png,data\train_processed\alpha\00001759.png
data\train_processed\images\00000332.png,data\train_processed\alpha\00000332.png
data\train_processed\images\00001357.png,data\train_processed\alpha\00001357.png
data\train_processed\images\00000591.png,data\train_processed\alpha\00000591.png
data\train_processed\images\00000554.png,data\train_processed\alpha\00000554.png
data\train_processed\images\00001503.png,data\train_processed\alpha\00001503.png
data\train_processed\images\00001735.png,data\train_processed\alpha\00001735.png
data\train_processed\images\00001440.png,data\train_processed\alpha\00001440.png
data\train_processed\images\00001786.png,data\train_processed\alpha\00001786.png
data\train_processed\images\00001871.png,data\train_processed\alpha\00001871.png
data\train_processed\images\00000426.png,data\train_processed\alpha\00000426.png
data\train_processed\images\00001743.png,data\train_processed\alpha\00001743.png
data\train_processed\images\00001502.png,data\train_processed\alpha\00001502.png
data\train_processed\images\00000588.png,data\train_processed\alpha\00000588.png
data\train_processed\images\00000979.png,data\train_processed\alpha\00000979.png
data\train_processed\images\00001974.png,data\train_processed\alpha\00001974.png
data\train_processed\images\00001391.png,data\train_processed\alpha\00001391.png
data\train_processed\images\00000721.png,data\train_processed\alpha\00000721.png
data\train_processed\images\00000398.png,data\train_processed\alpha\00000398.png
data\train_processed\images\00000567.png,data\train_processed\alpha\00000567.png
data\train_processed\images\00000436.png,data\train_processed\alpha\00000436.png
data\train_processed\images\00000192.png,data\train_processed\alpha\00000192.png
data\train_processed\images\00001433.png,data\train_processed\alpha\00001433.png
data\train_processed\images\00000787.png,data\train_processed\alpha\00000787.png
data\train_processed\images\00001917.png,data\train_processed\alpha\00001917.png
data\train_processed\images\00000619.png,data\train_processed\alpha\00000619.png
data\train_processed\images\00001860.png,data\train_processed\alpha\00001860.png
data\train_processed\images\00001613.png,data\train_processed\alpha\00001613.png
data\train_processed\images\00001937.png,data\train_processed\alpha\00001937.png
data\train_processed\images\00000141.png,data\train_processed\alpha\00000141.png
data\train_processed\images\00000720.png,data\train_processed\alpha\00000720.png
data\train_processed\images\00000002.png,data\train_processed\alpha\00000002.png
data\train_processed\images\00001904.png,data\train_processed\alpha\00001904.png
data\train_processed\images\00001867.png,data\train_processed\alpha\00001867.png
data\train_processed\images\00001157.png,data\train_processed\alpha\00001157.png
data\train_processed\images\00000339.png,data\train_processed\alpha\00000339.png
data\train_processed\images\00000630.png,data\train_processed\alpha\00000630.png
data\train_processed\images\00000494.png,data\train_processed\alpha\00000494.png
